Line Name,Measurement Type,promoter 1,promoter 2,promoter 3,abs @470nm w/DMSO,
S2.C1.R1.P2,promoter 2,11,3,14,2.19791,
S2.C1.R1.P3,promoter 3,12,3,5,1.53342,
S2.C1.R1.LY,abs @470nm w/DMSO,12,12,12,1.41282,
S2.C1.R1.P1,promoter 1,14,3,20,1.00401,
S2.C1.R1.P2,promoter 2,15,7,2,3.07646,
S2.C1.R1.P3,promoter 3,15,8,2,3.53541,
S2.C1.R1.LY,abs @470nm w/DMSO,16,1,2,4.91814,
S2.C1.R1.P1,promoter 1,16,3,22,2.04015,
S2.C1.R1.P2,promoter 2,16,4,1,2.59427,
S2.C1.R1.P3,promoter 3,16,4,2,2.27697,
S2.C1.R1.LY,abs @470nm w/DMSO,16,6,1,4.07456,
S2.C1.R1.P1,promoter 1,16,6,4,2.69605,
S2.C1.R1.P2,promoter 2,16,7,2,5.54487,
S2.C1.R1.P3,promoter 3,16,7,5,3.20783,
S2.C1.R1.LY,abs @470nm w/DMSO,16,9,4,4.63553,
S2.C1.R1.P1,promoter 1,16,10,1,3.28559,
S2.C1.R1.P2,promoter 2,16,10,4,6.19193,
S2.C1.R1.P3,promoter 3,16,10,17,2.67847,
S2.C1.R1.LY,abs @470nm w/DMSO,16,13,3,1.46018,
S2.C1.R1.P1,promoter 1,16,13,4,1.31316,
S2.C1.R1.P2,promoter 2,16,15,2,2.4172,
S2.C1.R1.P3,promoter 3,16,15,14,2.20965,
S2.C1.R1.LY,abs @470nm w/DMSO,16,18,1,2.28355,
S2.C1.R1.P1,promoter 1,16,19,16,2.948,
S2.C1.R1.P2,promoter 2,17,1,16,3.22174,
S2.C1.R1.P3,promoter 3,17,3,18,4.64213,
S2.C1.R1.LY,abs @470nm w/DMSO,17,9,18,0.79361,
S2.C1.R1.P1,promoter 1,17,11,16,4.04767,
S2.C1.R1.P2,promoter 2,17,14,18,2.01976,
S2.C1.R1.P3,promoter 3,17,14,20,0.59184,
S2.C1.R1.LY,abs @470nm w/DMSO,17,17,14,2.75206,
S2.C1.R1.P1,promoter 1,17,18,16,1.73968,
S2.C1.R1.P2,promoter 2,19,3,13,2.01017,
S2.C1.R1.P3,promoter 3,19,3,20,0.5962,
S2.C1.R1.LY,abs @470nm w/DMSO,20,2,3,2.20378,
S2.C1.R1.P1,promoter 1,20,6,3,1.91611,
S2.C1.R1.P2,promoter 2,20,8,7,4.75044,
S2.C1.R1.P3,promoter 3,20,9,2,3.28217,
S2.C1.R1.LY,abs @470nm w/DMSO,20,11,3,1.80194,
S2.C1.R1.P1,promoter 1,20,15,4,1.42541,
S2.C1.R1.P2,promoter 2,20,19,3,1.31316,
S2.C1.R1.P3,promoter 3,2,3,18,0.66741,
S2.C1.R1.LY,abs @470nm w/DMSO,8,3,21,2.39424,
S2.C1.R1.P1,promoter 1,9,3,20,1.02884,
S2.C1.R1.P2,promoter 2,9,7,16,4.92691,
S2.C1.R1.P3,promoter 3,11,3,14,2.09448,
S2.C1.R1.LY,abs @470nm w/DMSO,12,3,5,1.4645,
S2.C1.R1.P1,promoter 1,12,12,12,1.37836,
S2.C1.R1.P2,promoter 2,14,3,20,1.00401,
S2.C1.R1.P3,promoter 3,15,7,2,2.96659,
S2.C1.R1.LY,abs @470nm w/DMSO,15,8,2,3.7941,
S2.C1.R1.P1,promoter 1,16,1,2,5.21442,
S2.C1.R1.P2,promoter 2,16,3,22,2.11478,
S2.C1.R1.P3,promoter 3,16,4,1,2.36107,
S2.C1.R1.LY,abs @470nm w/DMSO,16,4,2,2.22211,
S2.C1.R1.P1,promoter 1,16,6,1,3.93242,
S2.C1.R1.P2,promoter 2,16,6,4,2.72934,
S2.C1.R1.P3,promoter 3,16,7,2,5.1038,
S2.C1.R1.LY,abs @470nm w/DMSO,16,7,5,3.13409,
S2.C1.R1.P1,promoter 1,16,9,4,4.7446,
S2.C1.R1.P2,promoter 2,16,10,1,3.13277,
S2.C1.R1.P3,promoter 3,16,10,4,6.12075,
S2.C1.R1.LY,abs @470nm w/DMSO,16,10,17,2.61828,
S2.C1.R1.P1,promoter 1,16,13,3,1.47756,
S2.C1.R1.P2,promoter 2,16,13,4,1.32808,
S2.C1.R1.P3,promoter 3,16,15,2,2.22492,
S2.C1.R1.LY,abs @470nm w/DMSO,16,15,14,2.15943,
S2.C1.R1.P1,promoter 1,16,18,1,2.53728,
S2.C1.R1.P2,promoter 2,16,19,16,2.87781,
S2.C1.R1.P3,promoter 3,17,1,16,3.34256,
S2.C1.R1.LY,abs @470nm w/DMSO,17,3,18,4.86059,
S2.C1.R1.P1,promoter 1,17,9,18,0.81296,
S2.C1.R1.P2,promoter 2,17,11,16,4.34028,
S2.C1.R1.P3,promoter 3,17,14,18,2.01976,
S2.C1.R1.LY,abs @470nm w/DMSO,17,14,20,0.63411,
S2.C1.R1.P1,promoter 1,17,17,14,2.99287,
S2.C1.R1.P2,promoter 2,17,18,16,1.6224,
S2.C1.R1.P3,promoter 3,19,3,13,1.96449,
S2.C1.R1.LY,abs @470nm w/DMSO,19,3,20,0.56879,
S2.C1.R1.P1,promoter 1,20,2,3,2.12507,
S2.C1.R1.P2,promoter 2,20,6,3,1.98708,
S2.C1.R1.P3,promoter 3,20,8,7,4.63458,
S2.C1.R1.LY,abs @470nm w/DMSO,20,9,2,3.40373,
S2.C1.R1.P1,promoter 1,20,11,3,1.88984,
S2.C1.R1.P2,promoter 2,20,15,4,1.5471,
S2.C1.R1.P3,promoter 3,20,19,3,1.32808,
S2.C1.R1.LY,abs @470nm w/DMSO,2,3,18,0.78277,
S2.C1.R1.P1,promoter 1,8,3,21,2.39424,
S2.C1.R1.P2,promoter 2,9,3,20,1.11667,
S2.C1.R1.P3,promoter 3,9,7,16,5.04017,
S2.C1.R1.LY,abs @470nm w/DMSO,11,3,14,2.37892,
S2.C1.R1.P1,promoter 1,12,3,5,1.48173,
S2.C1.R1.P2,promoter 2,12,12,12,1.67126,
S2.C1.R1.P3,promoter 3,14,3,20,0.8886,
S2.C1.R1.LY,abs @470nm w/DMSO,15,7,2,3.33283,
S2.C1.R1.P1,promoter 1,15,8,2,3.88033,
S2.C1.R1.P2,promoter 2,16,1,2,4.91814,
S2.C1.R1.P3,promoter 3,16,3,22,2.13966,
S2.C1.R1.LY,abs @470nm w/DMSO,16,4,1,2.39022,
S2.C1.R1.P1,promoter 1,16,4,2,2.60617,
S2.C1.R1.P2,promoter 2,16,6,1,4.12194,
S2.C1.R1.P3,promoter 3,16,6,4,3.09547,
S2.C1.R1.LY,abs @470nm w/DMSO,16,7,2,5.54487,
S2.C1.R1.P1,promoter 1,16,7,5,3.2447,
S2.C1.R1.P2,promoter 2,16,9,4,4.30832,
S2.C1.R1.P3,promoter 3,16,10,1,3.4384,
S2.C1.R1.LY,abs @470nm w/DMSO,16,10,4,5.83607,
S2.C1.R1.P1,promoter 1,16,10,17,2.46781,
S2.C1.R1.P2,promoter 2,16,13,3,1.58186,
S2.C1.R1.P3,promoter 3,16,13,4,1.23855,
S2.C1.R1.LY,abs @470nm w/DMSO,16,15,2,2.44467,
S2.C1.R1.P1,promoter 1,16,15,14,1.98366,
S2.C1.R1.P2,promoter 2,16,18,1,2.22717,
S2.C1.R1.P3,promoter 3,16,19,16,3.08838,
S2.C1.R1.LY,abs @470nm w/DMSO,17,1,16,3.50365,
S2.C1.R1.P1,promoter 1,17,3,18,4.69675,
S2.C1.R1.P2,promoter 2,17,9,18,0.90974,
S2.C1.R1.P3,promoter 3,17,11,16,4.14521,
S2.C1.R1.LY,abs @470nm w/DMSO,17,14,18,1.97278,
S2.C1.R1.P1,promoter 1,17,14,20,0.54956,
S2.C1.R1.P2,promoter 2,17,17,14,3.02727,
S2.C1.R1.P3,promoter 3,17,18,16,1.72013,
S2.C1.R1.LY,abs @470nm w/DMSO,19,3,13,1.78174,
S2.C1.R1.P1,promoter 1,19,3,20,0.5962,
S2.C1.R1.P2,promoter 2,20,2,3,2.36119,
S2.C1.R1.P3,promoter 3,20,6,3,2.10536,
S2.C1.R1.LY,abs @470nm w/DMSO,20,8,7,5.32976,
S2.C1.R1.P1,promoter 1,20,9,2,3.64685,
S2.C1.R1.P2,promoter 2,20,11,3,1.88984,
S2.C1.R1.P3,promoter 3,20,15,4,1.49495,
S2.C1.R1.LY,abs @470nm w/DMSO,20,19,3,1.2087,
S2.C1.R1.P1,promoter 1,4,3,14,3.09846,
S2.C1.R1.P2,promoter 2,6,1,17,1.64662,
S2.C1.R1.P3,promoter 3,9,10,3,5.06791,
S3.C1.R1.LY,abs @470nm w/DMSO,10,3,15,3.56068,
S3.C1.R1.P1,promoter 1,10,6,12,8.65595,
S3.C1.R1.P2,promoter 2,11,10,3,2.04252,
S3.C1.R1.P3,promoter 3,12,3,11,3.62651,
S3.C1.R1.LY,abs @470nm w/DMSO,12,3,4,2.93086,
S3.C1.R1.P1,promoter 1,12,12,12,2.42588,
S3.C1.R1.P2,promoter 2,14,3,15,4.21687,
S3.C1.R1.P3,promoter 3,15,6,2,2.61767,
S3.C1.R1.LY,abs @470nm w/DMSO,15,10,5,2.808,
S3.C1.R1.P1,promoter 1,16,2,2,4.87156,
S3.C1.R1.P2,promoter 2,16,2,12,7.05038,
S3.C1.R1.P3,promoter 3,16,3,14,6.21888,
S3.C1.R1.LY,abs @470nm w/DMSO,16,4,1,4.95138,
S3.C1.R1.P1,promoter 1,16,4,2,2.70967,
S3.C1.R1.P2,promoter 2,16,5,1,8.71958,
S3.C1.R1.P3,promoter 3,16,5,3,3.86568,
S3.C1.R1.LY,abs @470nm w/DMSO,16,6,2,8.51768,
S3.C1.R1.P1,promoter 1,16,7,1,1.70345,
S3.C1.R1.P2,promoter 2,16,7,3,1.1559,
S3.C1.R1.P3,promoter 3,16,7,14,3.94978,
S3.C1.R1.LY,abs @470nm w/DMSO,16,8,1,1.60723,
S3.C1.R1.P1,promoter 1,16,8,2,2.31541,
S3.C1.R1.P2,promoter 2,16,8,3,3.00045,
S3.C1.R1.P3,promoter 3,16,8,13,3.93628,
S3.C1.R1.LY,abs @470nm w/DMSO,16,9,12,3.59193,
S3.C1.R1.P1,promoter 1,16,10,3,2.87549,
S3.C1.R1.P2,promoter 2,16,10,9,3.92321,
S3.C1.R1.P3,promoter 3,17,5,9,3.79393,
S3.C1.R1.LY,abs @470nm w/DMSO,17,6,1,2.85787,
S3.C1.R1.P1,promoter 1,17,8,18,3.62218,
S3.C1.R1.P2,promoter 2,17,9,3,1.42044,
S3.C1.R1.P3,promoter 3,17,10,3,2.77818,
S3.C1.R1.LY,abs @470nm w/DMSO,17,10,4,3.32709,
S3.C1.R1.P1,promoter 1,17,10,5,2.9936,
S3.C1.R1.P2,promoter 2,17,10,6,1.76945,
S3.C1.R1.P3,promoter 3,18,3,14,2.16986,
S3.C1.R1.LY,abs @470nm w/DMSO,18,3,10,5.66598,
S3.C1.R1.P1,promoter 1,18,3,15,7.52012,
S3.C1.R1.P2,promoter 2,18,8,3,2.076,
S3.C1.R1.P3,promoter 3,18,10,2,9.17362,
S3.C1.R1.LY,abs @470nm w/DMSO,19,10,3,1.17213,
S3.C1.R1.P1,promoter 1,20,11,12,6.63148,
S3.C1.R1.P2,promoter 2,4,3,14,3.02883,
S3.C1.R1.P3,promoter 3,6,1,17,1.60646,
S3.C1.R1.LY,abs @470nm w/DMSO,9,10,3,4.84014,
S3.C1.R1.P1,promoter 1,10,3,15,3.51928,
S3.C1.R1.P2,promoter 2,10,6,12,9.05855,
S3.C1.R1.P3,promoter 3,11,10,3,1.88187,
S3.C1.R1.LY,abs @470nm w/DMSO,12,3,11,3.70893,
S3.C1.R1.P1,promoter 1,12,3,4,2.89555,
S3.C1.R1.P2,promoter 2,12,12,12,2.20783,
S3.C1.R1.P3,promoter 3,14,3,15,3.83352,
S3.C1.R1.LY,abs @470nm w/DMSO,15,6,2,2.64776,
S3.C1.R1.P1,promoter 1,15,10,5,3.04771,
S3.C1.R1.P2,promoter 2,16,2,2,5.09814,
S3.C1.R1.P3,promoter 3,16,2,12,7.05038,
S3.C1.R1.LY,abs @470nm w/DMSO,16,3,14,6.52224,
S3.C1.R1.P1,promoter 1,16,4,1,5.12821,
S3.C1.R1.P2,promoter 2,16,4,2,2.49655,
S3.C1.R1.P3,promoter 3,16,5,1,8.92475,
S3.C1.R1.LY,abs @470nm w/DMSO,16,5,3,4.2952,
S3.C1.R1.P1,promoter 1,16,6,2,9.14862,
S3.C1.R1.P2,promoter 2,16,7,1,1.64403,
S3.C1.R1.P3,promoter 3,16,7,3,1.1277,
S3.C1.R1.LY,abs @470nm w/DMSO,16,7,14,3.81664,
S3.C1.R1.P1,promoter 1,16,8,1,1.68759,
S3.C1.R1.P2,promoter 2,16,8,2,2.25961,
S3.C1.R1.P3,promoter 3,16,8,3,3.06942,
S3.C1.R1.LY,abs @470nm w/DMSO,16,8,13,4.03469,
S3.C1.R1.P1,promoter 1,16,9,12,3.39238,
S3.C1.R1.P2,promoter 2,16,10,3,3.01575,
S3.C1.R1.P3,promoter 3,16,10,9,3.8309,
S3.C1.R1.LY,abs @470nm w/DMSO,17,5,9,3.4567,
S3.C1.R1.P1,promoter 1,17,6,1,2.92591,
S3.C1.R1.P2,promoter 2,17,8,18,3.88091,
S3.C1.R1.P3,promoter 3,17,9,3,1.4724,
S3.C1.R1.LY,abs @470nm w/DMSO,17,10,3,2.50036,
S3.C1.R1.P1,promoter 1,17,10,4,3.28928,
S3.C1.R1.P2,promoter 2,17,10,5,3.06573,
S3.C1.R1.P3,promoter 3,17,10,6,1.92428,
S3.C1.R1.LY,abs @470nm w/DMSO,18,3,14,2.38685,
S3.C1.R1.P1,promoter 1,18,3,10,6.23257,
S3.C1.R1.P2,promoter 2,18,3,15,7.78553,
S3.C1.R1.P3,promoter 3,18,8,3,2.02536,
S3.C1.R1.LY,abs @470nm w/DMSO,18,10,2,8.85361,
S3.C1.R1.P1,promoter 1,19,10,3,1.15766,
S3.C1.R1.P2,promoter 2,20,11,12,5.78491,
S3.C1.R1.P3,promoter 3,4,3,14,3.02883,
S3.C1.R1.LY,abs @470nm w/DMSO,6,1,17,1.70686,
S3.C1.R1.P1,promoter 1,9,10,3,4.72626,
S3.C1.R1.P2,promoter 2,10,3,15,3.60208,
S3.C1.R1.P3,promoter 3,10,6,12,8.1527,
S3.C1.R1.LY,abs @470nm w/DMSO,11,10,3,1.83597,
S3.C1.R1.P1,promoter 1,12,3,11,3.42046,
S3.C1.R1.P2,promoter 2,12,3,4,3.10742,
S3.C1.R1.P3,promoter 3,12,12,12,2.2896,
S3.C1.R1.LY,abs @470nm w/DMSO,14,3,15,3.97727,
S3.C1.R1.P1,promoter 1,15,6,2,2.5274,
S3.C1.R1.P2,promoter 2,15,10,5,3.01347,
S3.C1.R1.P3,promoter 3,16,2,2,4.58833,
S3.C1.R1.LY,abs @470nm w/DMSO,16,2,12,6.80154,
S3.C1.R1.P1,promoter 1,16,3,14,6.4464,
S3.C1.R1.P2,promoter 2,16,4,1,5.12821,
S3.C1.R1.P3,promoter 3,16,4,2,2.58788,
S3.C1.R1.LY,abs @470nm w/DMSO,16,5,1,8.82217,
S3.C1.R1.P1,promoter 1,16,5,3,4.2952,
S3.C1.R1.P2,promoter 2,16,6,2,8.62283,
S3.C1.R1.P3,promoter 3,16,7,1,1.66384,
S3.C1.R1.LY,abs @470nm w/DMSO,16,7,3,1.1559,
S3.C1.R1.P1,promoter 1,16,7,14,3.55036,
S3.C1.R1.P2,promoter 2,16,8,1,1.74786,
S3.C1.R1.P3,promoter 3,16,8,2,2.42699,
S3.C1.R1.LY,abs @470nm w/DMSO,16,8,3,2.75903,
S3.C1.R1.P1,promoter 1,16,8,13,4.42831,
S3.C1.R1.P2,promoter 2,16,9,12,3.51211,
S3.C1.R1.P3,promoter 3,16,10,3,2.84042,
S3.C1.R1.LY,abs @470nm w/DMSO,16,10,9,4.15398,
S3.C1.R1.P1,promoter 1,17,5,9,3.79393,
S3.C1.R1.P2,promoter 2,17,6,1,2.85787,
S3.C1.R1.P3,promoter 3,17,8,18,3.57906,
S3.C1.R1.LY,abs @470nm w/DMSO,17,9,3,1.48973,
S3.C1.R1.P1,promoter 1,17,10,3,2.50036,
S3.C1.R1.P2,promoter 2,17,10,4,3.4027,
S3.C1.R1.P3,promoter 3,17,10,5,2.95753,
S3.C1.R1.LY,abs @470nm w/DMSO,17,10,6,1.76945,
S3.C1.R1.P1,promoter 1,18,3,14,2.27836,
S3.C1.R1.P2,promoter 2,18,3,10,5.7368,
S3.C1.R1.P3,promoter 3,18,3,15,7.69706,
S3.C1.R1.LY,abs @470nm w/DMSO,18,8,3,2.25322,
S3.C1.R1.P1,promoter 1,18,10,2,8.96028,
S3.C1.R1.P2,promoter 2,19,10,3,1.1866,
S3.C1.R1.P3,promoter 3,20,11,12,5.71436,
S3.C1.R1.LY,abs @470nm w/DMSO,4,3,14,2.68069,
S3.C1.R1.P1,promoter 1,6,1,17,1.86751,
S3.C1.R1.P2,promoter 2,9,10,3,4.72626,
S3.C1.R1.P3,promoter 3,10,3,15,3.39507,
S3.C1.R1.LY,abs @470nm w/DMSO,10,6,12,8.354,
S3.C1.R1.P1,promoter 1,11,10,3,2.04252,
S3.C1.R1.P2,promoter 2,12,3,11,3.25562,
S3.C1.R1.P3,promoter 3,12,3,4,3.07211,
S3.C1.R1.LY,abs @470nm w/DMSO,12,12,12,2.34411,
S3.C1.R1.P1,promoter 1,14,3,15,4.26479,
S3.C1.R1.P2,promoter 2,15,6,2,2.43714,
S3.C1.R1.P3,promoter 3,15,10,5,2.77376,
S3.C1.R1.LY,abs @470nm w/DMSO,16,2,2,4.70162,
S3.C1.R1.P1,promoter 1,16,2,12,7.29921,
S3.C1.R1.P2,promoter 2,16,3,14,6.59808,
S3.C1.R1.P3,promoter 3,16,4,1,4.83349,
S3.C1.R1.LY,abs @470nm w/DMSO,16,4,2,2.55744,
S3.C1.R1.P1,promoter 1,16,5,1,8.41183,
S3.C1.R1.P2,promoter 2,16,5,3,3.77023,
S3.C1.R1.P3,promoter 3,16,6,2,9.46409,
S3.C1.R1.LY,abs @470nm w/DMSO,16,7,1,1.72326,
S3.C1.R1.P1,promoter 1,16,7,3,1.35324,
S3.C1.R1.P2,promoter 2,16,7,14,3.77226,
S3.C1.R1.P3,promoter 3,16,8,1,1.78804,
S3.C1.R1.LY,abs @470nm w/DMSO,16,8,2,2.48279,
S3.C1.R1.P1,promoter 1,16,8,3,2.89698,
S3.C1.R1.P2,promoter 2,16,8,13,4.32991,
S3.C1.R1.P3,promoter 3,16,9,12,3.07309,
S3.C1.R1.LY,abs @470nm w/DMSO,16,10,3,3.19109,
S3.C1.R1.P1,promoter 1,16,10,9,3.78474,
S3.C1.R1.P2,promoter 2,17,5,9,3.28808,
S3.C1.R1.P3,promoter 3,17,6,1,2.92591,
S3.C1.R1.LY,abs @470nm w/DMSO,17,8,18,3.57906,
S3.C1.R1.P1,promoter 1,17,9,3,1.50705,
S3.C1.R1.P2,promoter 2,17,10,3,2.71644,
S3.C1.R1.P3,promoter 3,17,10,4,2.83559,
S3.C1.R1.LY,abs @470nm w/DMSO,17,10,5,3.24607,
S3.C1.R1.P1,promoter 1,17,10,6,2.05698,
S3.C1.R1.P2,promoter 2,18,3,14,2.38685,
S3.C1.R1.P3,promoter 3,18,3,10,6.44505,
S3.C1.R1.LY,abs @470nm w/DMSO,18,3,15,7.07776,
S3.C1.R1.P1,promoter 1,18,8,3,2.25322,
S3.C1.R1.P2,promoter 2,18,10,2,9.28029,
S3.C1.R1.P3,promoter 3,19,10,3,1.40367,
S3.C1.R1.LY,abs @470nm w/DMSO,20,11,12,5.85545,
S3.C1.R1.P1,promoter 1,,,,,
S3.C1.R1.P2,promoter 2,,,,,
S3.C1.R1.P3,promoter 3,,,,,
S3.C1.R1.LY,abs @470nm w/DMSO,,,,,
S3.C1.R1.P1,promoter 1,,,,,
S3.C1.R1.P2,promoter 2,,,,,
S3.C1.R1.P3,promoter 3,,,,,
S3.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
S4.C1.R1.P2,promoter 2,,,,,
S4.C1.R1.P3,promoter 3,,,,,
S4.C1.R1.LY,abs @470nm w/DMSO,,,,,
S4.C1.R1.P1,promoter 1,,,,,
